Title;Rating;Genre;Year;Director;Image
Blue Beetle;7.096;Action;2023;Ángel Manuel Soto;images\565770.jpg
Talk to Me;7.231;Horror;2023;Michael Philippou;images\1008042.jpg
Fast X;7.272;Action;2023;Louis Leterrier;images\385687.jpg
Barbie;7.302;Comedy;2023;Greta Gerwig;images\346698.jpg
Meg 2: The Trench;6.978;Action;2023;Ben Wheatley;images\615656.jpg
Retribution;6.744;Action;2023;Nimród Antal;images\762430.jpg
The Nun II;6.551;Horror;2023;Michael Chaves;images\968051.jpg
Kandahar;6.863;Action;2023;Ric Roman Waugh;images\717930.jpg
Elemental;7.773;Animation;2023;Peter Sohn;images\976573.jpg
Indiana Jones and the Dial of Destiny;6.675;Adventure;2023;James Mangold;images\335977.jpg
Sound of Freedom;8.009;Action;2023;Alejandro Gómez Monteverde;images\678512.jpg
Teenage Mutant Ninja Turtles: Mutant Mayhem;7.4;Animation;2023;Jeff Rowe;images\614930.jpg
Transformers: Rise of the Beasts;7.493;Action;2023;Steven Caple Jr.;images\667538.jpg
Spider-Man: Across the Spider-Verse;8.4;Animation;2023;Joaquim Dos Santos;images\569094.jpg
After Everything;6.348;Romance;2023;Adam Shankman;images\820525.jpg
The Flash;6.9;Action;2023;Andy Muschietti;images\298618.jpg
Special Delivery;6.903;Action;2022;Park Dae-min;images\606403.jpg
Carl's Date;7.906;Animation;2023;Bob Peterson;images\1076364.jpg
Sakra;6.6;Action;2023;Donnie Yen;images\990140.jpg
Red Dawn;6.3;Action;1984;John Milius;images\1880.jpg
John Wick: Chapter 4;7.813;Action;2023;Chad Stahelski;images\603692.jpg
Expend4bles;7.0;Action;2023;Scott Waugh;images\299054.jpg
Darkland: The Return;6.54;Action;2023;Fenar Ahmad;images\1085218.jpg
The Little Mermaid;6.545;Adventure;2023;Rob Marshall;images\447277.jpg
Sons of Summer;6.5;Action;2023;Clive Fleury;images\1152238.jpg
Oppenheimer;8.256;Drama;2023;Christopher Nolan;images\872585.jpg
The Nun;5.876;Horror;2018;Corin Hardy;images\439079.jpg
Strays;7.551;Comedy;2023;Josh Greenbaum;images\912908.jpg
